0,1,2,3,4,5,6,7,8
0.0,0.0,0.0,0.20173915,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.121668614,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.026943335,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.002190829,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.541089e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.870983e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2771906e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021226248
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027216027
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13940516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32171735
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40781778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32019046
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13782063
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026685875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020620073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9779868e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
